Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio233	51.069	10.465	396.25	8.845819473	758.125	30.6	49.6	19.6	6.154317153	5.237095	0.484817	10.80220991	18.7860795
iSBio235	51.302	10.436	375.75	9.016656876	661.2649841	28.65	55.4	15.95	6.997666265	6.352072	0.578001	10.98972493	22.3304231
iSBio237	51.055	10.48	380.25	9.070840836	761.2850037	29.65	55.35	15.2	6.796893708	10.355937	0.985499	10.50831812	18.34002677
iSBio239	51.287	10.38	324	9.650003433	580.4649963	26.85	48.15	25.05	6.448259338	5.69774	0.518527	10.98831883	17.80821918
iSBio241	51.277	10.421	312.5	9.73749733	564.480011	27	52.2	21.3	6.849130541	5.44615	0.483897	11.25477116	19.3960511
iSBio244	53.087	13.97	37	10.09583473	562.9649811	11.7	24.5	63.55	7.316771734	27.770342	2.178872	12.7452838	44.9078727
iSBio246	53.089	13.98	35.75	10.09583473	560.4149933	11.85	21.95	66.3	7.314077034	16.647297	1.161541	14.33207868	26.20576132
iSBio248	53.103	13.986	34.25	10.10416603	557.8249969	13.15	21.15	65.65	7.421226076	12.847354	0.864573	14.85976777	22.54570074
iSBio252	53.107	14	34.25	10.09583473	551.3649902	12.65	22.55	64.85	7.47494035	19.888947	1.266545	15.70330861	30.5356249
iSBio258	53.114	14.017	31.75	10.12917519	548.4499969	14	21.4	64.2	5.659383778	15.586675	0.738531	21.10497054	5.568601141
iSBio261	53.137	13.876	49.5	9.866662979	558.3149872	12.3	20.85	66.3	5.096941628	2.047349	0.192271	10.64824649	3.318474492
iSBio264	53.101	13.974	38	10.04999733	565.3299866	13.05	21.8	64.8	7.412553518	12.241549	0.574493	21.30843892	15.7452529
iSBio266	53.108	14.026	31.25	10.10416603	546.6100006	14.5	22.6	62.9	5.171993115	30.647491	2.260619	13.55712351	28.74809419
iSBio268	53.111	13.618	56.5	9.908349991	597.9799957	10.75	16.15	73.35	6.514074987	13.894674	1.191725	11.65929556	27.71263419
iSBio270	53.123	13.707	60.25	9.812494278	607.5299835	9.3	18.6	72.05	6.823891166	29.24147	2.294006	12.74690214	46.14235938
iSBio274	53.152	13.832	46.25	9.929178238	564.7200012	11.8	22.7	65.5	6.319025742	3.085489	0.313597	9.839025884	5.801425493
iSBio278	52.98	13.848	68.5	9.845834732	601.5000153	8.75	18.65	72.15	7.469414119	2.772295	0.250262	11.07757071	4.83737824
iSBio280	53.135	13.876	49.5	9.866662979	558.3149872	11.8	20.75	66.95	6.20343623	1.826856	0.167826	10.88541704	1.709543568
iSBio284	52.871	13.969	63.25	9.98333168	574.0649872	9.25	23.55	67.15	5.021733713	2.899193	0.281951	10.28261294	5.367196297
iSBio289	53.122	13.75	58.25	9.86249733	595.105011	8.6	17.05	74	5.128620162	3.014431	0.268006	11.24762505	4.181134259
iSBio292	48.398	9.342	722.5	8.720819473	837.0050049	29.1	55.65	15	6.623029471	9.296099	0.941473	9.873994262	27.44634105
iSBio294	48.377	9.473	739	8.433343887	825.9150085	32.15	54.2	13.9	6.789383778	10.194454	1.025441	9.941531497	24.65406682
iSBio296	48.409	9.532	759.5	8.250009298	873.5099792	34.4	53.4	12.25	5.925305865	6.85425	0.632838	10.83097096	24.92411467
iSBio297	48.381	9.419	718.25	8.925012589	824.8699951	27.7	50.9	21.6	5.808259338	5.467954	0.568161	9.623951662	24.02427025
